Unnamed: 0,A,B,C,D,E,F
17.0,Pacific Drive,2024,Ironwood Studios,Kepler Interactive,Not Recommended,Contains overtly pro-LGBTQ+ messaging. Various pride flag stickers are automatically unlocked when the decorator is built.
18.0,Call of Duty Warzone,2022,"Infinity Ward, Raven Software, Beenox, Treyarch, High Moon Studios, Sledgehammer Games, Activision Shanghai, Demonware, Toys for Bob",Activision,Not Recommended,Contains overtly pro-LGBTQ+ images. Multiple pride flag calling cards and emblems.
19.0,Call of Duty Modern Warfare (2019),2023,"Infinity Ward, Beenox, High Moon Studios, Raven Software",Activision,Not Recommended,Contains overtly pro-LGBTQ+ images. Multiple pride flag calling cards and emblems.
20.0,Call of Duty Modern Warfare II (2022),2022,"Infinity Ward, Raven Software, Beenox, Treyarch, High Moon Studios, Sledgehammer Games, Activision Shanghai, Demonware, Toys for Bob",Activision,Not Recommended,Contains overtly pro-LGBTQ+ images. Multiple pride flag calling cards and emblems.
21.0,Call of Duty Modern Warfare III (2023),2023,"Sledgehammer Games, Treyarch, Infinity Ward, Beenox, Raven Software, High Moon Studios, Demonware",Activision,Not Recommended,Contains overtly pro-LGBTQ+ images. Multiple pride flag calling cards and emblems.
22.0,Shadows of Doubt,2023,ColePowered Games,Fireshine Games,Not Recommended,Contains overtly pro-LGBTQ+ messaging. Non-binary gender option.
23.0,Cassette Beasts,2023,Bytten Studio,Raw Fury,Not Recommended,Contains overtly pro-LGBTQ+ messaging. Pronoun selection including an option for they/them. All companions can be romanced regardless of the player's gender.
24.0,No More Heroes 3,2022,GRASSHOPPER MANUFACTURE INC.,"XSEED Games, Marvelous USA, Inc., Marvelous",Informational,Contains subtly pro-LGBTQ+ imagery. There is a rainbow graffiti present on one of the buildings.
25.0,Battletech,2018,Harebrained Schemes,Paradox Interactive,Not Recommended,Contains overtly pro-LGBTQ+ messaging. Pronouns selection including an option for they.
26.0,Fallen Leaf,Coming soon,Delta Shore Games,Delta Shore Games,Not Recommended,Contains overtly pro-LGBTQ+ messaging. All entries in the encyclopedia include the character's pronouns. Some characters have they/them pronouns.
27.0,Undertale,2015,tobyfox,tobyfox,Not Recommended,"Contains overtly pro-LGBTQ+ messaging. Multiple non-binary characters that use they/them pronouns, including the player character. Two major characters can form a homosexual relationship."
28.0,Cave Story+,2011,"Nicalis, Inc., Studio Pixel","Nicalis, Inc.",Recommended,Contains no Woke content.
29.0,Red Dead Redemption II,2019,Rockstar Games,Rockstar Games,Informational,Contains subtly pro-DEI messaging. Several minor characters espouse modern day political sentiments. As an example: the npc Sadie Adler behaves the same way a modern day feminist would.
30.0,The Elder Scrolls V: Skyrim Special Edition,2016,Bethesda Game Studios,Bethesda Softworks,Informational,Contains subtly pro-LGBTQ+ messaging. Contains subtly pro-DEI messaging. Homosexual marriage options. An npc in Whiterun asks you whether the sight of a strong Nord woman offends you.
31.0,The Elder Scrolls IV: Oblivion,2007,Bethesda Game Studios,Bethesda Softworks,Informational,Contains subtly pro-LGBTQ+ messaging. Multiple minor LGBTQ+ npcs. Some Argonians use conflicting pronouns. The Ahzirr Traajijazeri encourages LGBTQ+ relationships. Dumag gro-Bonk flirts with males.
32.0,The Elder Scrolls III: Morrowind,2002,Bethesda Game Studios,Bethesda Softworks,Informational,Contains LGBTQ+ messaging. Optional homoeroticism. Crassius Curio speaks in a sexually suggestive way and has the player engage in homoerotic behavior to progress the story. Pro- or anti- is unclear.
33.0,Fallout 4,2015,Bethesda Game Studios,Bethesda Softworks,Informational,Contains subtly pro-LGBTQ+ messaging. Homosexual romance options.
34.0,Fallout New Vegas,2010,Obsidian Entertainment,Bethesda Softworks,Informational,"Contains subtly pro-LGBTQ+ messaging. Many minor LGBTQ+ npcs, including 2 possible companions. The Confirmed Bachelor and Cherchez La Femme perks unlock homosexual dialogue options with certain npcs."
35.0,Fallout 3,2008,Bethesda Game Studios,Bethesda Softworks,Informational,Contains subtly pro-LGBTQ+ messaging. Multiple minor LGBTQ+ npcs. Homosexual romance options.
36.0,Grand Theft Auto V,2015,Rockstar North,Rockstar Games,Informational,Contains subtly pro-LGBTQ+ messaging. Features multiple minor LGBTQ+ npcs.
37.0,Borderlands 3,2020,Gearbox Software,2K,Not Recommended,Contains overtly pro-LGBTQ+ messaging. Multiple non-binary and LGBTQ+ characters. The Love and Tentacles dlc features a homosexual relationship. The playable character FL4K wears a non-binary pin.
38.0,Borderlands 2,2012,"Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",Informational,Contains subtly pro-LGBTQ+ messaging. Several minor characters have dialogue revealing homosexual or bisexual tendencies.
39.0,Borderlands The Pre-Sequel,2014,"2K Australia, Gearbox Software, Aspyr (Linux)","2K, Aspyr (Linux)",Informational,Contains subtly pro-LGBTQ+ messaging. Several characters have dialogue revealing homosexual or bisexual tendencies.
40.0,Borderlands Enhanced,2023,"Gearbox Software, Blind Squirrel Games",2K,Recommended,Contains no Woke content.
41.0,Metro 2033 Redux,2014,4A Games,Deep Silver,Recommended,Contains no Woke content.
42.0,Metro Last light Redux,2014,4A Games,Deep Silver,Recommended,Contains no Woke content.
43.0,Metro Exodus,2019,4A Games,Deep Silver,Recommended,Contains no Woke content.
44.0,Terraria,2011,Re-Logic,Re-Logic,Not Recommended,Contains overtly pro-LGBTQ+ messaging. Update 1.4.5 includes a retroactive removal of gender selection from the character creation menu. The gender change potion uses the same colors as a pride flag.
45.0,Sid Meier’s Civilization VI,2016,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",Not Recommended,Contains overtly pro-DEI messaging. Contains overtly pro-climate action messaging. Race swapped Suleiman and added historically unimportant female leaders. Global warming and carbon capture mechanics.
46.0,Sid Meier’s Civilization V,2010,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",Recommended,Contains no Woke content.
47.0,Team Fortress 2,2007,Valve,Valve,Recommended,Contains no Woke content.
48.0,Alien Swarm,2010,Valve,Valve,Recommended,Contains no Woke content.
49.0,The Witcher 3: Wild Hunt,2015,CD PROJEKT RED,CD PROJEKT RED,Informational,Contains subtly pro-LGBTQ+ messaging. Several minor characters provide exposition regarding their experiences as homosexual individuals. This exposition includes light social commentary.
50.0,The Witcher 2: Assassins of Kings Enhanced,2011,CD PROJEKT RED,"CD PROJEKT RED, 1C-SoftClub",Recommended,Contains no Woke content.
51.0,The Witcher Enhanced Edition Director’s Cut,2008,CD PROJEKT RED,"CD PROJEKT RED, 1C-SoftClub",Recommended,Contains no Woke content.
52.0,Subnautica,2018,Unknown Worlds Entertainment,Unknown Worlds Entertainment,Informational,"Contains subtly anti-gun and subtly pro-LGBTQ+ messaging. The game's director has stated he chose not to put guns in this game as 'one vote toward a world with less guns.' The databank titled ""Relationship Contract Legal Recording"" is a conversation between two lesbians where one breaks up with the other."
53.0,Ultratron,2013,Puppygames,Puppygames,Recommended,Contains no Woke content.
54.0,Sekiro: Shadows Die Twice,2019,FromSoftware,"Activision (Excluding Japan and Asia), FromSoftware (Japan), 方块游戏 (Asia)",Recommended,Contains no Woke content.
55.0,Dark Souls Remastered,2018,QLOC,"FromSoftware, Inc, Bandai Namco Entertainment",Informational,Contains subtly pro-LGBTQ+ messaging. The boss character Gwyndolin was born a male but raised as a female and given clothes and a magic ring to help him act like a female.
56.0,Dark Souls II,2014,"FromSoftware, Inc","BANDAI NAMCO Entertainment, FromSoftware, Inc",Informational,Contains subtly pro-LGBTQ+ messaging. There is a gender swap coffin in Things Betwixt that allows the player character to change back and forth between male and female.
57.0,Dark Souls II: Scholar of the First Sin,2015,"FromSoftware, Inc","Bandai Namco Entertainment, FromSoftware, Inc",Informational,Contains subtly pro-LGBTQ+ messaging. There is a gender swap coffin in Things Betwixt that allows the player character to change back and forth between male and female.
58.0,Dark Souls III,2016,"FromSoftware, Inc.","FromSoftware, Inc., Bandai Namco Entertainment",Informational,Contains subtly pro-LGBTQ+ messaging. The reversal ring allows the player character to perform the animations associated with the opposite biological sex.
59.0,Helldivers II,2024,Arrowhead Game Studios,PlayStation PC LLC,Informational,Contains subtly pro-LGBTQ+ messaging. Contains subtly pro-DEI messaging. No clear distinction between male or female aside from voice options. The intro notably features a mixed race family.
60.0,Counter-Strike 2,2012,Valve,Valve,Not Recommended,"Contains overtly pro-DEI messaging. Features multiple female agent skins, including a female Navy Seal and female SWAT officers. Vypa is more muscular than most male operators."
61.0,Cyberpunk 2077,2020,CD PROJEKT RED,CD PROJEKT RED,Not Recommended,Contains overtly pro-LGBTQ+ messaging. Contains overtly pro-Transhumanism messaging. Features a Trans character and flag. Uses body types instead of biological sex. Body modification encouraged.
62.0,Left 4 Dead,2008,Valve,Valve,Recommended,Contains no Woke content.
63.0,Left 4 Dead 2,2009,Valve,Valve,Recommended,Contains no Woke content.
64.0,Final Fantasy VII,2013,Square Enix,Square Enix,Informational,Contains subtly pro-LGBTQ+ messaging. Contains subtly pro-climate action messaging. Forced cross-dressing. You start the game working for an ecoterrorism group.
65.0,Final Fantasy IX,2016,Square Enix,Square Enix,Informational,Contains LGBTQ+ themes with no specific message. The playable character Quina is of an ambiguous gender and is referred to using s/he. The signifier used for this character varies by localization.
66.0,Final Fantasy VI,2022,Square Enix,Square Enix,Recommended,Contains no Woke content.
67.0,Final Fantasy V,2021,Square Enix,Square Enix,Informational,Contains subtly pro-LGBTQ+ messaging. One of the main characters regularly engages in cross-dressing.
68.0,Final Fantasy IV,2021,Square Enix,Square Enix,Informational,Contains subtly pro-LGBTQ+ and subtly pro-DEI messaging. See the full review for spoilers.
69.0,Final Fantasy XIII,2014,Square Enix,Square Enix,Recommended,Contains no Woke content.
70.0,Dominion,2024,Temple Gates Games,Temple Gates Games,Recommended,Contains no Woke content.
71.0,Deus Ex: Human Revolution Director’s Cut,2013,Eidos Montreal,Eidos Interactive Corp.,Informational,Contains subtly pro-Transhumanism content. This game revolves around the idea of human augmentation and player growth is intrinsically tied to this principle.
72.0,Warframe,2013,Digital Extremes,Digital Extremes,Not Recommended,Contains overtly pro-LGBTQ+ messaging. Various pride flag items.
73.0,Black Desert,2017,Pearl Abyss,Pearl Abyss,Recommended,Contains no Woke content.
74.0,Crysis Warhead,2008,Crytek,Electronic Arts,Recommended,Contains no Woke content.
75.0,Crysis 2 Maximum Edition,2011,Crytek Studios,Electronic Arts,Recommended,Contains no Woke content.
76.0,Command and Conquer Red Alert 3,2008,EA Los Angeles,Electronic Arts,Recommended,Contains no Woke content.
77.0,Command and Conquer 3 Tiberium Wars,2007,EA Los Angeles,Electronic Arts,Recommended,Contains no Woke content.
78.0,Command and Conquer 3: Kane’s Wrath,2009,EA Los Angeles,Electronic Arts,Recommended,Contains no Woke content.
79.0,Command & Conquer: Red Alert 3 - Uprising,2009,EA Los Angeles,Electronic Arts,Recommended,Contains no Woke content.
80.0,Castle Crashers,2012,The Behemoth,The Behemoth,Recommended,Contains no Woke content.
81.0,Battleblock Theater,2014,The Behemoth,The Behemoth,Recommended,Contains no Woke content.
82.0,Final Fantasy III,2021,Square Enix,Square Enix,Recommended,Contains no Woke content.
83.0,Final Fantasy II,2021,Square Enix,Square Enix,Recommended,Contains no Woke content.
84.0,Final Fantasy VII Remake Intergrade,2022,Square Enix,Square Enix,Informational,"Contains subtly pro-LGBTQ+ messaging. Contains subtly pro-climate action messaging. Forced cross-dressing and dancing with a sexually suggestive minor, male character. Forced ecoterrorism."
85.0,Crisis Core Final Fantasy VII Reunion,2022,"Square Enix, TOSE CO., LTD.",Square Enix,Recommended,Contains no Woke content.
86.0,Lies of P,2023,NEOWIZ,NEOWIZ,Recommended,Contains no Woke content.
87.0,Hollow Knight,2017,Team Cherry,Team Cherry,Informational,Contains subtly pro-LGBTQ+ messaging. The npc Cloth is revealed to be a lesbian. An achievement called Happy Couple involves the nailsmith becoming a male model for the npc Sheo.
88.0,Portal,2007,Valve,Valve,Recommended,Contains no Woke content.
89.0,Portal 2,2011,Valve,Valve,Informational,Contains subtly anti-patriarchy messaging. All male characters are portrayed negatively and as less competent than the female characters.
90.0,Sticky Business,2023,Spellgarden Games,Assemble Entertainment,Not Recommended,Contains overtly pro-LGBTQ+ messaging. Many pride flags are available as stickers.
91.0,Enshrouded,2024,Keen Games GmbH,Keen Games GmbH,Informational,Contains subtly pro-LGBTQ+ messaging. The character creation menu uses unlabeled presets instead of a clear distinction between male and female.
92.0,Raft,2022,Redbeet Interactive,Axolot Games,Recommended,Contains no Woke content.
93.0,Monster Hunter: World,2018,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Recommended,Contains no Woke content.
94.0,Dragon Ball Xenoverse,2015,DIMPS,Bandai Namco Entertainment,Recommended,Contains no Woke content.
95.0,Bioshock Infinite,2013,"Irrational Games, Virtual Programming (Linux)",2K,Not Recommended,"Contains overtly anti-western society and overtly pro-DEI messaging. Colombia's residents are hyper-exaggerated, racist caricatures of 19th century Americans. Heavy social commentary on racism."
96.0,Bioshock,2007,"2K Boston, 2K Australia",2K,Informational,"Contains LGBTQ+ messaging. According to creative director Ken Levine, the minor npc Sander Cohen is gay. In-game audio logs allude to possible homosexual interactions. Pro- or anti- is unclear."
97.0,Bioshock Remastered,2016,"2K Boston, 2K Australia, Blind Squirrel, Feral Interactive (Mac)","2K, Feral Interactive (Mac)",Informational,"Contains LGBTQ+ messaging. According to creative director Ken Levine, the minor npc Sander Cohen is gay. In-game audio logs allude to possible homosexual interactions. Pro- or anti- is unclear."
98.0,Bioshock 2,2010,"2K Marin, 2K China, Digital Extremes, 2K Australia",2K,Recommended,Contains no Woke content.
99.0,Bioshock 2 Remastered,2016,"2K Marin, 2K China, Digital Extremes, 2K Australia, Blind Squirrel, Feral Interactive (Mac)","2K, Feral Interactive (Mac)",Recommended,Contains no Woke content.
100.0,Amnesia: The Dark Descent,2010,Frictional Games,Frictional Games,Recommended,Contains no Woke content.
